222021,Vio 1 medio delgado
222022,Vio 1 medio delgado1
222023,Vio 1 medio delgado2
222031,Vio 1 medio medio
222032,Vio 1 medio medio1
222033,Vio 1 medio medio2
222041,Vio 1 medio grueso
222042,Vio 1 medio grueso1
222043,Vio 1 medio grueso2
222051,Vio 1 medio jumbo
223000,Vio 1 largo
223011,Vio 1 largo Sopa
223021,Vio 1 largo delgado
223022,Vio 1 largo delgado1
223023,Vio 1 largo delgado2
223031,Vio 1 largo medio
223032,Vio 1 largo medio1
223033,Vio 1 largo medio2
223041,Vio 1 largo grueso
223042,Vio 1 largo grueso1
223043,Vio 1 largo grueso2
223051,Vio 1 largo jumbo
230000,Vio 2
230011,Vio 2 Sopa
230021,Vio 2 delgado
230022,Vio 2 delgado1
230023,Vio 2 delgado2
230031,Vio 2 medio
230032,Vio 2 medio1
230033,Vio 2 medio2
230041,Vio 2 grueso
230042,Vio 2 grueso1
230043,Vio 2 grueso2
230051,Vio 2 jumbo
230100,Vio 2 puntas
230111,Vio 2 puntas Sopa
230121,Vio 2 puntas delgado
230122,Vio 2 puntas delgado1
230123,Vio 2 puntas delgado2
230131,Vio 2 puntas medio
230132,Vio 2 puntas medio1
230133,Vio 2 puntas medio2
230141,Vio 2 puntas grueso
230142,Vio 2 puntas grueso1
230143,Vio 2 puntas grueso2
230151,Vio 2 puntas jumbo
231000,Vio 2 corto
231011,Vio 2 corto Sopa
231021,Vio 2 corto delgado
231022,Vio 2 corto delgado1
231023,Vio 2 corto delgado2
231031,Vio 2 corto medio
231032,Vio 2 corto medio1
231033,Vio 2 corto medio2
231041,Vio 2 corto grueso
231042,Vio 2 corto grueso1
231043,Vio 2 corto grueso2
231051,Vio 2 corto jumbo
232000,Vio 2 medio
232011,Vio 2 medio Sopa
232021,Vio 2 medio delgado
232022,Vio 2 medio delgado1
232023,Vio 2 medio delgado2
232031,Vio 2 medio medio
232032,Vio 2 medio medio1
232033,Vio 2 medio medio2
232041,Vio 2 medio grueso
232042,Vio 2 medio grueso1
232043,Vio 2 medio grueso2
232051,Vio 2 medio jumbo
233000,Vio 2 largo
233011,Vio 2 largo Sopa
233021,Vio 2 largo delgado
233022,Vio 2 largo delgado1
233023,Vio 2 largo delgado2
233031,Vio 2 largo medio
233032,Vio 2 largo medio1
233033,Vio 2 largo medio2
233041,Vio 2 largo grueso
233042,Vio 2 largo grueso1
233043,Vio 2 largo grueso2
233051,Vio 2 largo jumbo
300000,VioGrn
300011,VioGrn Sopa
300021,VioGrn delgado
300022,VioGrn delgado1
300023,VioGrn delgado2
300031,VioGrn medio
300032,VioGrn medio1
300033,VioGrn medio2
300041,VioGrn grueso
300042,VioGrn grueso1
300043,VioGrn grueso2
300051,VioGrn jumbo
300100,VioGrn puntas
300111,VioGrn puntas Sopa
300121,VioGrn puntas delgado
300122,VioGrn puntas delgado1
300123,VioGrn puntas delgado2
300131,VioGrn puntas medio
300132,VioGrn puntas medio1
300133,VioGrn puntas medio2
300141,VioGrn puntas grueso
300142,VioGrn puntas grueso1
300143,VioGrn puntas grueso2
300151,VioGrn puntas jumbo
301000,VioGrn corto
301011,VioGrn corto Sopa
301021,VioGrn corto delgado
301022,VioGrn corto delgado1
301023,VioGrn corto delgado2
301031,VioGrn corto medio
301032,VioGrn corto medio1
301033,VioGrn corto medio2
301041,VioGrn corto grueso
301042,VioGrn corto grueso1
301043,VioGrn corto grueso2
301051,VioGrn corto jumbo
302000,VioGrn medio
302011,VioGrn medio Sopa
302021,VioGrn medio delgado
302022,VioGrn medio delgado1
302023,VioGrn medio delgado2
302031,VioGrn medio medio
302032,VioGrn medio medio1
302033,VioGrn medio medio2
302041,VioGrn medio grueso
302042,VioGrn medio grueso1
302043,VioGrn medio grueso2
302051,VioGrn medio jumbo
303000,VioGrn largo
303011,VioGrn largo Sopa
303021,VioGrn largo delgado
303022,VioGrn largo delgado1
303023,VioGrn largo delgado2
303031,VioGrn largo medio
303032,VioGrn largo medio1
303033,VioGrn largo medio2
303041,VioGrn largo grueso
303042,VioGrn largo grueso1
303043,VioGrn largo grueso2
303051,VioGrn largo jumbo
310000,VioGrn extra
310011,VioGrn extra Sopa
310021,VioGrn extra delgado
310022,VioGrn extra delgado1
310023,VioGrn extra delgado2
310031,VioGrn extra medio
310032,VioGrn extra medio1
310033,VioGrn extra medio2
310041,VioGrn extra grueso
310042,VioGrn extra grueso1
310043,VioGrn extra grueso2
310051,VioGrn extra jumbo
310100,VioGrn E puntas
310111,VioGrn E puntas Sopa
310121,VioGrn E puntas delgado
310122,VioGrn E puntas delgado1
310123,VioGrn E puntas delgado2
310131,VioGrn E puntas medio
310132,VioGrn E puntas medio1
310133,VioGrn E puntas medio2
310141,VioGrn E puntas grueso
310142,VioGrn E puntas grueso1
